F/C EXP;F/C IC;F/C LS/HS;F/C FSP;F/C FSV;F/C FT;F/C CD;F/C TRAIN;F/C RAW;F/C ST;F ST;SDRV SD;SDRV[14:9];SDRV[8:0];TTM;SPV XYV;SPV XYW;SPV SI;SPV SDX;SPV SDY ;CDD;STM;STATE RDY;STATE DRV;STATE FYV;STATE FXV;STATE FYW;STATE FXW;STATE FI;STATE ST;TEMP0;TEMP1;SUNX;SUNY;SUNX1;SUNY1;SUNX2;SUNY2;SUNVX;SUNVY;SUNI;ECC_ERR;CDS;RADDR;EADDR
0;0;0;0;0;0;0;0;0;0;0;0;0;0;56919;3;0;3;1;0;10717;736540782;0;1;1;1;1;1;0;3;196;178;4510;17065;4802;58618;14013;29062;24984;59264;20175;34232;8563;36303;0
31;0;0;0;0;0;0;0;0;0;0;1;0;121;479;0;1;1;9;15;63085;682082794;1;0;0;0;1;1;0;7;248;176;44152;34963;39656;56340;33958;37519;19835;41203;3692;39646;28348;11936;0
30;1;0;0;0;0;0;0;0;0;0;0;0;26;1542;1;2;2;10;5;18847;1641292404;1;1;0;0;0;1;1;1;158;182;1854;60048;43894;17806;4605;16350;62339;26176;56572;4764;49164;45334;0
28;3;0;0;0;0;0;0;0;0;0;0;0;98;11125;7;0;0;1;9;44543;3247839818;1;1;1;1;0;1;0;6;47;8;23643;2521;56950;51237;10756;56345;14108;41183;54967;31544;40511;38676;0
27;4;0;0;0;0;0;0;0;0;1;1;0;172;44772;4;2;3;0;13;63013;1739483219;0;1;1;1;0;0;0;6;66;50;2370;46093;52296;37198;54103;33655;57994;54763;61575;22644;12379;1208;0
26;5;0;0;0;0;0;0;0;0;1;1;0;69;19899;4;2;2;3;7;46905;1792654328;0;0;0;0;0;1;1;0;112;97;64712;19457;1965;18846;43825;26648;53402;44440;53654;64672;54113;20399;0
25;6;0;0;0;0;0;0;0;0;0;0;0;196;63154;6;2;2;0;15;22227;2749555269;0;1;1;1;1;0;1;1;52;53;22592;183;25205;45903;10763;58146;22514;11091;61737;44431;43361;5320;0
24;7;0;0;0;0;0;0;0;0;1;1;0;6;29204;4;0;3;6;15;15359;3549084155;0;0;0;1;0;0;0;3;101;144;7530;50999;20870;33537;600;16464;4306;11197;47951;23386;33566;52294;0
23;0;1;0;0;0;0;0;0;0;1;1;0;157;22760;0;2;1;15;1;38463;484197915;0;1;0;1;0;0;0;5;116;3;51127;22134;33549;35556;22803;48866;10395;39845;52558;42877;15022;16769;0
22;1;1;0;0;0;0;0;0;0;0;0;0;82;62330;6;1;2;7;11;19118;3716437989;0;0;0;1;1;1;1;4;190;198;39257;44552;31222;52600;22007;12159;8343;14194;26982;33941;22677;11178;0
